Nilai Ujian,Kehadiran (%),Aktivitas Ekstrakurikuler,Preferensi Lokasi,Transportasi,Rata-rata Nilai Raport,Prestasi Akademik,Keterlibatan Orang Tua,Jarak Rumah (km),Ketersediaan Fasilitas Olahraga,Ketersediaan Fasilitas Laboratorium,Ketersediaan Fasilitas Perpustakaan,Ketersediaan Fasilitas Seni,Ketersediaan Fasilitas Komputer,Ketersediaan Fasilitas Wi-Fi,Ketersediaan Fasilitas Kesehatan,Ketersediaan Fasilitas Kafetaria,Lingkungan Sekitar,Ketersediaan Beasiswa,Sekolah Dipilih
51,90,Rendah,Tidak Peduli,Bus,62,Rendah,Tinggi,3,Baik,Sedang,Baik,Sedang,Kurang,Ada,Ada,Ada,Tidak Nyaman,Tidak,B
53,92,Tinggi,Tidak Peduli,Bus,89,Sedang,Tinggi,4,Sedang,Baik,Baik,Kurang,Kurang,Tidak Ada,Ada,Ada,Tenang,Ya,C
88,99,Sedang,Dekat Rumah,Bus,63,Tinggi,Sedang,11,Baik,Kurang,Sedang,Baik,Sedang,Tidak Ada,Ada,Ada,Tenang,Ya,B
70,97,Sedang,Dekat Rumah,Mobil,86,Sedang,Sedang,17,Sedang,Baik,Kurang,Baik,Sedang,Tidak Ada,Ada,Tidak Ada,Tenang,Tidak,C
59,74,Tinggi,Dekat Rumah,Mobil,92,Tinggi,Tinggi,6,Kurang,Kurang,Kurang,Sedang,Baik,Ada,Tidak Ada,Tidak Ada,Nyaman,Ya,C
92,98,Rendah,Jauh dari Rumah,Sepeda,91,Tinggi,Tinggi,2,Baik,Sedang,Baik,Baik,Sedang,Ada,Tidak Ada,Tidak Ada,Nyaman,Ya,C
93,87,Sedang,Dekat Rumah,Mobil,65,Rendah,Sedang,12,Kurang,Sedang,Baik,Kurang,Sedang,Ada,Tidak Ada,Ada,Nyaman,Ya,B
74,92,Tinggi,Tidak Peduli,Mobil,85,Rendah,Rendah,4,Baik,Sedang,Sedang,Sedang,Baik,Tidak Ada,Ada,Ada,Nyaman,Ya,B
72,70,Rendah,Jauh dari Rumah,Sepeda,73,Sedang,Sedang,16,Baik,Baik,Baik,Baik,Sedang,Ada,Tidak Ada,Tidak Ada,Tidak Nyaman,Tidak,C
89,98,Rendah,Jauh dari Rumah,Sepeda,65,Sedang,Rendah,4,Kurang,Sedang,Kurang,Baik,Sedang,Ada,Tidak Ada,Ada,Nyaman,Tidak,A
52,87,Tinggi,Dekat Rumah,Mobil,83,Tinggi,Tinggi,10,Kurang,Kurang,Sedang,Sedang,Baik,Tidak Ada,Tidak Ada,Ada,Ramai,Tidak,A
68,75,Tinggi,Tidak Peduli,Mobil,81,Rendah,Tinggi,14,Sedang,Sedang,Sedang,Baik,Sedang,Ada,Tidak Ada,Tidak Ada,Ramai,Ya,A
50,89,Rendah,Dekat Rumah,Sepeda,67,Sedang,Sedang,11,Kurang,Kurang,Sedang,Kurang,Sedang,Ada,Ada,Tidak Ada,Ramai,Ya,C
61,75,Sedang,Dekat Rumah,Sepeda,79,Sedang,Rendah,14,Kurang,Baik,Sedang,Kurang,Kurang,Ada,Ada,Tidak Ada,Ramai,Tidak,B
98,98,Tinggi,Jauh dari Rumah,Mobil,84,Sedang,Tinggi,13,Baik,Sedang,Kurang,Baik,Baik,Tidak Ada,Ada,Tidak Ada,Ramai,Tidak,A
98,75,Rendah,Jauh dari Rumah,Sepeda,67,Rendah,Sedang,16,Sedang,Sedang,Kurang,Kurang,Sedang,Ada,Ada,Tidak Ada,Nyaman,Tidak,A
67,83,Rendah,Jauh dari Rumah,Mobil,76,Tinggi,Tinggi,17,Baik,Kurang,Baik,Sedang,Baik,Tidak Ada,Tidak Ada,Ada,Nyaman,Ya,B
83,88,Rendah,Tidak Peduli,Bus,71,Sedang,Sedang,15,Baik,Kurang,Sedang,Kurang,Kurang,Ada,Tidak Ada,Ada,Tenang,Ya,B
69,84,Rendah,Tidak Peduli,Bus,84,Tinggi,Sedang,18,Kurang,Baik,Sedang,Baik,Kurang,Tidak Ada,Ada,Ada,Nyaman,Ya,B
54,85,Sedang,Dekat Rumah,Bus,62,Rendah,Tinggi,16,Sedang,Baik,Sedang,Baik,Kurang,Tidak Ada,Tidak Ada,Ada,Nyaman,Ya,A
69,73,Tinggi,Dekat Rumah,Mobil,68,Tinggi,Tinggi,2,Sedang,Kurang,Sedang,Sedang,Sedang,Ada,Tidak Ada,Ada,Tenang,Tidak,B
83,93,Rendah,Tidak Peduli,Mobil,94,Tinggi,Sedang,5,Kurang,Kurang,Baik,Baik,Kurang,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Nyaman,Tidak,C
59,94,Rendah,Dekat Rumah,Mobil,75,Rendah,Tinggi,17,Sedang,Kurang,Baik,Kurang,Kurang,Ada,Tidak Ada,Tidak Ada,Nyaman,Ya,A
93,77,Rendah,Dekat Rumah,Sepeda,61,Sedang,Tinggi,8,Baik,Kurang,Kurang,Baik,Baik,Ada,Ada,Tidak Ada,Ramai,Tidak,C
65,71,Tinggi,Tidak Peduli,Sepeda,67,Tinggi,Rendah,6,Kurang,Baik,Sedang,Kurang,Sedang,Ada,Tidak Ada,Ada,Nyaman,Ya,B
86,93,Rendah,Jauh dari Rumah,Bus,67,Rendah,Tinggi,9,Kurang,Baik,Sedang,Kurang,Sedang,Tidak Ada,Ada,Tidak Ada,Ramai,Tidak,C
62,72,Rendah,Jauh dari Rumah,Bus,80,Rendah,Tinggi,6,Sedang,Kurang,Sedang,Kurang,Sedang,Ada,Ada,Tidak Ada,Tenang,Tidak,A
89,95,Rendah,Jauh dari Rumah,Mobil,91,Tinggi,Sedang,6,Sedang,Baik,Sedang,Sedang,Baik,Tidak Ada,Ada,Ada,Tenang,Ya,A
65,95,Tinggi,Jauh dari Rumah,Mobil,60,Sedang,Tinggi,18,Kurang,Baik,Sedang,Kurang,Sedang,Tidak Ada,Ada,Ada,Tenang,Ya,B
56,91,Rendah,Tidak Peduli,Sepeda,78,Sedang,Tinggi,5,Sedang,Baik,Sedang,Sedang,Sedang,Tidak Ada,Ada,Tidak Ada,Tidak Nyaman,Tidak,C
92,86,Rendah,Jauh dari Rumah,Bus,89,Tinggi,Sedang,11,Baik,Kurang,Sedang,Kurang,Baik,Ada,Ada,Ada,Tenang,Ya,A
79,95,Rendah,Dekat Rumah,Mobil,69,Tinggi,Rendah,12,Sedang,Kurang,Baik,Baik,Sedang,Ada,Ada,Ada,Tidak Nyaman,Tidak,A
73,73,Tinggi,Tidak Peduli,Bus,65,Sedang,Sedang,10,Kurang,Kurang,Sedang,Kurang,Baik,Tidak Ada,Tidak Ada,Ada,Tenang,Ya,C
57,85,Sedang,Tidak Peduli,Sepeda,61,Sedang,Rendah,10,Kurang,Baik,Baik,Baik,Baik,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Nyaman,Ya,C
79,79,Rendah,Tidak Peduli,Sepeda,79,Rendah,Sedang,12,Baik,Baik,Kurang,Sedang,Kurang,Ada,Ada,Ada,Ramai,Tidak,A
92,72,Rendah,Tidak Peduli,Bus,92,Tinggi,Sedang,6,Baik,Kurang,Kurang,Sedang,Kurang,Ada,Ada,Tidak Ada,Ramai,Tidak,B
75,75,Sedang,Dekat Rumah,Sepeda,70,Rendah,Rendah,8,Kurang,Baik,Kurang,Baik,Kurang,Ada,Ada,Ada,Ramai,Ya,A
60,87,Rendah,Jauh dari Rumah,Sepeda,90,Rendah,Rendah,16,Sedang,Baik,Baik,Baik,Kurang,Ada,Tidak Ada,Ada,Nyaman,Ya,B
92,76,Sedang,Dekat Rumah,Mobil,62,Rendah,Rendah,18,Baik,Kurang,Kurang,Kurang,Baik,Tidak Ada,Ada,Ada,Tenang,Ya,B
73,92,Sedang,Jauh dari Rumah,Bus,76,Sedang,Sedang,15,Sedang,Baik,Sedang,Baik,Baik,Ada,Tidak Ada,Tidak Ada,Tenang,Ya,A
56,75,Tinggi,Tidak Peduli,Mobil,69,Sedang,Tinggi,17,Kurang,Sedang,Kurang,Sedang,Sedang,Tidak Ada,Ada,Tidak Ada,Nyaman,Tidak,C
99,77,Tinggi,Tidak Peduli,Bus,88,Sedang,Tinggi,7,Kurang,Kurang,Sedang,Sedang,Sedang,Tidak Ada,Ada,Ada,Ramai,Ya,C
95,82,Tinggi,Jauh dari Rumah,Sepeda,72,Sedang,Sedang,4,Baik,Baik,Baik,Sedang,Baik,Tidak Ada,Ada,Tidak Ada,Tidak Nyaman,Ya,B
56,98,Sedang,Dekat Rumah,Bus,88,Sedang,Rendah,14,Kurang,Baik,Kurang,Kurang,Kurang,Tidak Ada,Ada,Ada,Tenang,Ya,B
73,77,Rendah,Tidak Peduli,Bus,87,Tinggi,Rendah,13,Baik,Baik,Sedang,Sedang,Kurang,Tidak Ada,Tidak Ada,Tidak Ada,Ramai,Ya,C
66,81,Rendah,Dekat Rumah,Bus,93,Tinggi,Sedang,15,Baik,Sedang,Kurang,Kurang,Kurang,Ada,Ada,Tidak Ada,Tenang,Ya,A
65,99,Sedang,Tidak Peduli,Mobil,94,Rendah,Rendah,6,Kurang,Sedang,Sedang,Kurang,Kurang,Tidak Ada,Ada,Tidak Ada,Nyaman,Ya,B
93,83,Rendah,Dekat Rumah,Sepeda,72,Rendah,Rendah,14,Kurang,Baik,Sedang,Sedang,Baik,Ada,Ada,Ada,Nyaman,Tidak,C
88,88,Sedang,Jauh dari Rumah,Sepeda,93,Tinggi,Rendah,18,Baik,Sedang,Baik,Baik,Baik,Tidak Ada,Tidak Ada,Ada,Ramai,Ya,A
87,75,Sedang,Tidak Peduli,Bus,66,Rendah,Rendah,8,Kurang,Kurang,Baik,Baik,Kurang,Ada,Ada,Ada,Tidak Nyaman,Ya,B
52,96,Sedang,Dekat Rumah,Sepeda,88,Tinggi,Sedang,7,Sedang,Kurang,Kurang,Sedang,Baik,Tidak Ada,Tidak Ada,Tidak Ada,Ramai,Tidak,B
84,88,Tinggi,Jauh dari Rumah,Bus,94,Tinggi,Rendah,4,Sedang,Sedang,Baik,Baik,Baik,Ada,Ada,Ada,Tidak Nyaman,Ya,C
76,94,Tinggi,Jauh dari Rumah,Bus,67,Rendah,Sedang,8,Sedang,Kurang,Sedang,Baik,Kurang,Tidak Ada,Ada,Ada,Nyaman,Tidak,A
85,99,Rendah,Jauh dari Rumah,Bus,65,Tinggi,Sedang,12,Baik,Baik,Kurang,Kurang,Kurang,Ada,Tidak Ada,Tidak Ada,Nyaman,Tidak,B
89,76,Sedang,Jauh dari Rumah,Bus,89,Sedang,Tinggi,17,Sedang,Kurang,Baik,Kurang,Baik,Ada,Tidak Ada,Tidak Ada,Tenang,Ya,C
94,81,Tinggi,Tidak Peduli,Bus,81,Sedang,Sedang,2,Baik,Kurang,Baik,Sedang,Baik,Ada,Tidak Ada,Ada,Ramai,Tidak,A
95,89,Tinggi,Jauh dari Rumah,Sepeda,60,Tinggi,Tinggi,2,Kurang,Kurang,Kurang,Sedang,Kurang,Tidak Ada,Ada,Tidak Ada,Ramai,Ya,C
96,79,Tinggi,Tidak Peduli,Mobil,83,Sedang,Tinggi,5,Kurang,Sedang,Kurang,Sedang,Baik,Tidak Ada,Ada,Tidak Ada,Ramai,Tidak,A
81,97,Rendah,Dekat Rumah,Mobil,77,Sedang,Sedang,9,Kurang,Sedang,Sedang,Kurang,Kurang,Tidak Ada,Tidak Ada,Ada,Ramai,Ya,C
99,95,Sedang,Tidak Peduli,Sepeda,68,Tinggi,Rendah,15,Sedang,Sedang,Sedang,Sedang,Kurang,Ada,Tidak Ada,Tidak Ada,Ramai,Tidak,C
82,82,Sedang,Tidak Peduli,Mobil,70,Rendah,Sedang,8,Sedang,Baik,Sedang,Kurang,Baik,Ada,Ada,Ada,Nyaman,Tidak,A
56,71,Tinggi,Jauh dari Rumah,Sepeda,67,Rendah,Sedang,10,Baik,Kurang,Baik,Baik,Sedang,Ada,Ada,Ada,Tidak Nyaman,Ya,C
62,95,Sedang,Tidak Peduli,Bus,68,Sedang,Rendah,9,Baik,Kurang,Baik,Baik,Sedang,Ada,Tidak Ada,Ada,Ramai,Tidak,C
69,79,Tinggi,Dekat Rumah,Mobil,63,Rendah,Rendah,18,Sedang,Sedang,Sedang,Sedang,Baik,Ada,Ada,Tidak Ada,Ramai,Tidak,A
92,78,Tinggi,Jauh dari Rumah,Sepeda,91,Sedang,Rendah,4,Kurang,Baik,Sedang,Sedang,Baik,Ada,Ada,Ada,Tenang,Ya,C
90,74,Tinggi,Jauh dari Rumah,Sepeda,60,Tinggi,Rendah,17,Kurang,Kurang,Kurang,Kurang,Kurang,Tidak Ada,Tidak Ada,Ada,Nyaman,Ya,B
99,85,Sedang,Jauh dari Rumah,Bus,67,Tinggi,Tinggi,14,Sedang,Kurang,Kurang,Sedang,Kurang,Ada,Ada,Tidak Ada,Ramai,Ya,B
