Umur,Pendapatan Bulanan (ribu Rupiah),Jarak Tempuh Harian (km),Status Pekerjaan,Preferensi Harga,Preferensi Kecepatan,Preferensi Kapasitas,Ketersediaan Pajak,Ketersediaan Parkir,Ketersediaan Bahan Bakar,Ketersediaan Teknologi,Ketersediaan Perawatan,Ketersediaan Asuransi,Ketersediaan Warna,Ketersediaan Fitur Keselamatan,Ketersediaan Fitur Hiburan,Ketersediaan Aksesori,Ketersediaan Ruang Penumpang,Ketersediaan Ruang Bagasi,Jenis Kendaraan Dipilih
30,7164,25,Pensiunan,Mahal,Sedang,Besar,Ya,Kurang,Listrik,Sedang,Baik,Tidak,Beragam,Cukup,Kurang,Kurang,Sempit,Luas,Mobil Listrik
34,13233,96,Pensiunan,Mahal,Sedang,Besar,Tidak,Baik,Gas,Rendah,Cukup,Tidak,Terbatas,Cukup,Cukup,Kurang,Luas,Luas,Sepeda
52,14215,34,Pensiunan,Sedang,Lambat,Kecil,Ya,Baik,Listrik,Tinggi,Cukup,Tidak,Beragam,Kurang,Lengkap,Kurang,Sempit,Cukup,Mobil
67,19633,21,Wiraswasta,Murah,Sedang,Sedang,Tidak,Kurang,Solar,Tinggi,Baik,Ya,Terbatas,Lengkap,Cukup,Kurang,Cukup,Sempit,Mobil Listrik
26,20816,92,Wiraswasta,Murah,Lambat,Besar,Ya,Baik,Listrik,Tinggi,Kurang,Ya,Beragam,Lengkap,Cukup,Lengkap,Sempit,Sempit,Sepeda
28,20176,73,Pelajar/Mahasiswa,Mahal,Cepat,Sedang,Ya,Cukup,Bensin,Sedang,Baik,Tidak,Beragam,Kurang,Cukup,Kurang,Luas,Cukup,Mobil Listrik
22,21958,70,Wiraswasta,Sedang,Cepat,Besar,Ya,Cukup,Solar,Rendah,Cukup,Ya,Terbatas,Cukup,Kurang,Cukup,Sempit,Luas,Mobil
58,27719,96,Pelajar/Mahasiswa,Sedang,Lambat,Kecil,Ya,Baik,Listrik,Rendah,Baik,Ya,Terbatas,Cukup,Lengkap,Kurang,Cukup,Sempit,Mobil Listrik
35,25378,44,Pelajar/Mahasiswa,Sedang,Cepat,Kecil,Tidak,Baik,Solar,Sedang,Baik,Tidak,Terbatas,Lengkap,Kurang,Cukup,Cukup,Sempit,Sepeda Motor
47,14031,93,Pensiunan,Mahal,Lambat,Sedang,Ya,Baik,Gas,Tinggi,Baik,Ya,Terbatas,Lengkap,Lengkap,Lengkap,Luas,Sempit,Sepeda
42,5718,33,Pensiunan,Sedang,Cepat,Kecil,Tidak,Cukup,Bensin,Sedang,Baik,Ya,Terbatas,Cukup,Cukup,Cukup,Sempit,Luas,Mobil
41,12485,85,Pensiunan,Murah,Cepat,Sedang,Ya,Kurang,Listrik,Sedang,Kurang,Tidak,Terbatas,Cukup,Lengkap,Cukup,Luas,Cukup,Sepeda
31,4700,94,Tidak Bekerja,Sedang,Lambat,Besar,Tidak,Cukup,Solar,Rendah,Baik,Ya,Beragam,Cukup,Lengkap,Kurang,Luas,Cukup,Mobil Listrik
42,23386,84,Pensiunan,Mahal,Cepat,Sedang,Ya,Cukup,Solar,Rendah,Cukup,Tidak,Beragam,Lengkap,Lengkap,Lengkap,Luas,Luas,Sepeda Motor
22,28731,69,Pelajar/Mahasiswa,Sedang,Sedang,Kecil,Ya,Cukup,Listrik,Tinggi,Cukup,Ya,Beragam,Cukup,Cukup,Cukup,Luas,Cukup,Mobil Listrik
47,26231,49,Pegawai Negeri,Murah,Lambat,Kecil,Ya,Cukup,Bensin,Tinggi,Kurang,Ya,Beragam,Lengkap,Kurang,Cukup,Sempit,Luas,Sepeda
52,26875,57,Pegawai Negeri,Mahal,Lambat,Sedang,Ya,Kurang,Gas,Rendah,Cukup,Tidak,Beragam,Lengkap,Lengkap,Lengkap,Luas,Luas,Mobil
63,24134,74,Pensiunan,Mahal,Cepat,Besar,Ya,Kurang,Bensin,Sedang,Kurang,Ya,Beragam,Lengkap,Cukup,Lengkap,Cukup,Luas,Mobil Listrik
29,6434,30,Tidak Bekerja,Murah,Lambat,Kecil,Tidak,Kurang,Gas,Tinggi,Baik,Tidak,Terbatas,Kurang,Lengkap,Cukup,Sempit,Sempit,Sepeda
38,2809,95,Pensiunan,Murah,Lambat,Kecil,Ya,Kurang,Gas,Tinggi,Baik,Tidak,Terbatas,Cukup,Lengkap,Lengkap,Sempit,Luas,Sepeda
55,25131,51,Pegawai Negeri,Sedang,Cepat,Besar,Ya,Cukup,Solar,Sedang,Baik,Tidak,Terbatas,Lengkap,Kurang,Kurang,Luas,Sempit,Mobil Listrik
33,18823,54,Wiraswasta,Sedang,Cepat,Sedang,Tidak,Kurang,Solar,Sedang,Baik,Tidak,Terbatas,Cukup,Lengkap,Kurang,Luas,Sempit,Mobil
55,25258,16,Wiraswasta,Sedang,Sedang,Sedang,Ya,Cukup,Solar,Sedang,Baik,Ya,Terbatas,Kurang,Cukup,Cukup,Cukup,Sempit,Mobil
24,28808,29,Pegawai Negeri,Mahal,Cepat,Sedang,Ya,Kurang,Solar,Tinggi,Kurang,Ya,Beragam,Lengkap,Lengkap,Kurang,Sempit,Sempit,Mobil Listrik
26,20612,64,Pegawai Negeri,Sedang,Sedang,Sedang,Ya,Kurang,Listrik,Rendah,Kurang,Tidak,Terbatas,Lengkap,Cukup,Cukup,Sempit,Cukup,Sepeda Motor
35,20986,82,Pegawai Negeri,Sedang,Sedang,Sedang,Ya,Kurang,Bensin,Sedang,Kurang,Tidak,Beragam,Kurang,Cukup,Lengkap,Cukup,Luas,Mobil
65,9991,16,Wiraswasta,Sedang,Cepat,Besar,Ya,Baik,Bensin,Tinggi,Kurang,Ya,Beragam,Cukup,Kurang,Lengkap,Sempit,Sempit,Mobil Listrik
36,2764,48,Pegawai Negeri,Mahal,Sedang,Kecil,Ya,Kurang,Listrik,Rendah,Baik,Ya,Beragam,Lengkap,Cukup,Kurang,Luas,Sempit,Mobil Listrik
