tanggal,wx_phrase,obs_name,temp,pressure,vis,rh,wspd,expire_time_gmt,valid_time_gmt
2014-01-02,Mostly Cloudy,Pontianak,75.0,29.87,6.0,100.0,,1388629800,1388622600
2014-01-02,Mostly Cloudy,Pontianak,77.0,29.87,6.0,94.0,,1388631600,1388624400
2014-01-02,Mostly Cloudy,Pontianak,79.0,29.87,6.0,89.0,,1388633400,1388626200
2014-01-02,Mostly Cloudy,Pontianak,79.0,29.87,6.0,94.0,3.0,1388635200,1388628000
2014-01-02,Mostly Cloudy,Pontianak,81.0,29.87,6.0,89.0,5.0,1388637000,1388629800
2014-01-02,Mostly Cloudy,Pontianak,82.0,29.87,6.0,79.0,5.0,1388638800,1388631600
2014-01-02,Mostly Cloudy,Pontianak,,,6.0,,7.0,1388640600,1388633400
2014-01-02,Mostly Cloudy,Pontianak,84.0,29.84,6.0,79.0,3.0,1388642400,1388635200
2014-01-02,Mostly Cloudy,Pontianak,84.0,29.84,6.0,79.0,,1388644200,1388637000
2014-01-02,Mostly Cloudy,Pontianak,86.0,29.84,6.0,74.0,,1388646000,1388638800
2014-01-02,Partly Cloudy,Pontianak,88.0,29.81,6.0,70.0,8.0,1388647800,1388640600
2014-01-02,Mostly Cloudy,Pontianak,88.0,29.79,6.0,66.0,5.0,1388649600,1388642400
2014-01-02,Mostly Cloudy,Pontianak,88.0,29.79,6.0,66.0,3.0,1388651400,1388644200
2014-01-02,Mostly Cloudy,Pontianak,,,6.0,,7.0,1388653200,1388646000
2014-01-02,Mostly Cloudy,Pontianak,88.0,29.76,6.0,62.0,6.0,1388655000,1388647800
2014-01-02,Mostly Cloudy,Pontianak,90.0,29.76,6.0,62.0,8.0,1388656800,1388649600
2014-01-02,Mostly Cloudy,Pontianak,88.0,29.73,6.0,66.0,5.0,1388658600,1388651400
2014-01-02,Mostly Cloudy,Pontianak,86.0,,4.0,74.0,9.0,1388660400,1388653200
2014-01-02,Mostly Cloudy,Pontianak,82.0,29.76,6.0,79.0,8.0,1388662200,1388655000
2014-01-02,Mostly Cloudy,Pontianak,82.0,29.76,6.0,84.0,6.0,1388664000,1388656800
2014-01-02,Fair,Pontianak,82.0,29.79,6.0,84.0,6.0,1388665800,1388658600
2014-01-02,Mostly Cloudy,Pontianak,81.0,29.79,6.0,84.0,,1388667600,1388660400
2014-01-02,Partly Cloudy,Pontianak,81.0,29.79,6.0,84.0,3.0,1388669400,1388662200
2014-01-02,Fair,Pontianak,81.0,29.81,6.0,89.0,,1388671200,1388664000
2014-01-02,Partly Cloudy,Pontianak,79.0,29.81,4.0,94.0,,1388673000,1388665800
2014-01-02,Partly Cloudy,Pontianak,79.0,29.81,4.0,94.0,,1388674800,1388667600
2014-01-02,Partly Cloudy,Pontianak,79.0,29.81,3.0,94.0,,1388676600,1388669400
2014-01-02,Partly Cloudy,Pontianak,79.0,29.84,3.0,94.0,,1388678400,1388671200
2014-01-02,Partly Cloudy,Pontianak,,29.84,3.0,,,1388682000,1388674800
2014-01-02,Partly Cloudy,Pontianak,77.0,29.81,3.0,100.0,,1388683800,1388676600
2014-01-01,Mostly Cloudy,Pontianak,75.0,29.84,4.0,94.0,,1388543400,1388536200
2014-01-01,Partly Cloudy,Pontianak,77.0,29.87,6.0,100.0,5.0,1388545200,1388538000
2014-01-01,Fair,Pontianak,79.0,29.87,6.0,89.0,6.0,1388547000,1388539800
2014-01-01,Fair,Pontianak,81.0,29.87,6.0,84.0,6.0,1388548800,1388541600
2014-01-01,Fair,Pontianak,82.0,29.87,6.0,84.0,6.0,1388550600,1388543400
2014-01-01,Partly Cloudy,Pontianak,84.0,29.84,6.0,79.0,5.0,1388554200,1388547000
2014-01-01,Partly Cloudy,Pontianak,86.0,29.84,6.0,74.0,8.0,1388556000,1388548800
2014-01-01,Mostly Cloudy,Pontianak,86.0,29.84,6.0,74.0,5.0,1388557800,1388550600
2014-01-01,Mostly Cloudy,Pontianak,86.0,29.81,6.0,79.0,6.0,1388559600,1388552400
2014-01-01,Mostly Cloudy,Pontianak,88.0,29.79,6.0,66.0,5.0,1388561400,1388554200
2014-01-01,Mostly Cloudy,Pontianak,88.0,29.81,6.0,66.0,3.0,1388563200,1388556000
2014-01-01,Mostly Cloudy,Pontianak,88.0,29.76,6.0,66.0,,1388565000,1388557800
2014-01-01,Mostly Cloudy,Pontianak,86.0,29.76,4.0,74.0,12.0,1388568600,1388561400
2014-01-01,Mostly Cloudy / Windy,Pontianak,77.0,29.76,0.43,100.0,23.0,1388570400,1388563200
2014-01-01,Mostly Cloudy,Pontianak,75.0,29.76,0.31,100.0,9.0,1388572200,1388565000
2014-01-01,Mostly Cloudy,Pontianak,77.0,29.79,1.0,94.0,1.0,1388574000,1388566800
